Region,Country,Province,StrainID,sra_code,lat,lon,cave,year,adj.lat,adj.lon
Europe,Unknown,Unknown,Gd_00306-ca,Gd_00306-ca,,,Missing146,,0,0
Europe,Unknown,Unknown,Gd_00306-cb,Gd_00306-cb,,,Missing147,,0,0
Europe,Unknown,Unknown,Gd_00306-cc,Gd_00306-cc,,,Missing148,,0,0
Europe,Unknown,Unknown,Gd_00307-ba,Gd_00307-ba,,,Missing149,,0,0
Europe,Unknown,Unknown,Gd_00307-bb,Gd_00307-bb,,,Missing150,,0,0
Europe,Unknown,Unknown,Gd_00308-aa,Gd_00308-aa,,,Missing151,,0,0
Europe,Unknown,Unknown,Gd_00308-ab,Gd_00308-ab,,,Missing152,,0,0
Europe,Unknown,Unknown,Gd_00308-ac,Gd_00308-ac,,,Missing153,,0,0
Europe,Unknown,Unknown,Gd_00309-ba,Gd_00309-ba,,,Missing154,,0,0
Europe,Unknown,Unknown,Gd_00309-bb,Gd_00309-bb,,,Missing155,,0,0
