,NAU.sample.ID,Pd1,Pd2,Pd3,Pd4,Pd5,Pd6,Pd7,Pd8,Pd9,Pd10,Pd11,Pd12,Pd13,Pd14,Pd15,Pd16,Pd17,Pd18,Pd19,Pd20,Pd21,Pd22,Pd23,Pd1_bins,Pd2_bins,Pd3_bins,Pd4_bins,Pd5_bins,Pd6_bins,Pd7_bins,Pd8_bins,Pd10_bins,Pd11_bins,Pd12_bins,Pd13_bins,Pd14_bins,Pd15_bins,Pd16_bins,Pd17_bins,Pd18_bins,Pd19_bins,Pd20_bins,Pd21_bins,Pd22_bins,Pd23_bins
Gd05638,Gd05638,281,254,354,421,273,214,437,431,394,237,388,146,NA,264,424,318,274,167,280,193,289,322,351,276,NA,353,415,267,213,436,408,231,386,141,NA,263,412,315,268,155,276,192,283,321,346
Gd05639,Gd05639,287,254,355,421,273,214,438,431,394,237,388,146,NA,264,424,318,274,167,280,193,289,322,351,282,NA,353,415,267,213,436,408,231,386,141,NA,263,412,315,268,155,276,192,283,321,346
Gd05640,Gd05640,282,254,355,422,273,214,443,431,394,237,388,147,439,263,NA,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,441,408,231,386,141,438,251,NA,315,268,155,276,192,283,321,346
Gd05641,Gd05641,282,254,349,422,273,214,437,431,394,237,388,147,439,264,424,318,274,167,280,193,289,322,351,276,NA,347,421,267,213,436,408,231,386,141,438,263,412,315,268,155,276,192,283,321,346
Gd05642,Gd05642,282,260,354,422,273,214,437,431,NA,237,388,146,439,263,424,318,274,167,280,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05643,Gd05643,282,254,354,422,273,214,437,431,394,237,388,146,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05644,Gd05644,277,254,354,422,273,214,437,431,394,237,388,146,439,264,424,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,263,412,315,268,155,276,192,283,321,346
Gd05826,Gd05826,281,254,354,421,274,208,436,431,394,237,388,147,438,264,424,318,274,167,280,192,289,322,350,276,NA,353,415,273,207,431,408,231,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd05827,Gd05827,282,253,354,421,274,214,436,431,394,238,388,147,438,264,424,318,274,167,280,192,289,322,351,276,NA,353,415,273,213,431,408,237,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd05828,Gd05828,280,253,354,421,273,214,436,431,394,238,388,147,438,263,424,318,274,167,279,194,289,322,350,276,NA,353,415,267,213,431,408,237,386,141,432,251,412,315,268,155,276,192,283,321,346
Gd14068,Gd14068,282,255,354,421,273,214,437,431,393,237,388,146,439,263,424,NA,274,167,280,193,290,322,352,276,NA,353,415,267,213,436,408,231,386,141,438,251,412,NA,268,155,276,192,289,321,351
Gd14484,Gd14484,282,255,354,421,395,214,437,431,394,237,388,146,439,263,424,318,274,167,280,192,289,322,351,276,NA,353,415,NA,213,436,408,231,386,141,438,251,412,315,268,155,276,186,283,321,346
Gd14485,Gd14485,282,254,354,421,273,214,438,431,394,237,388,145,439,263,424,319,274,167,280,192,290,322,351,276,NA,353,415,267,213,436,408,231,386,141,438,251,412,318,268,155,276,186,289,321,346
Gd14486,Gd14486,282,253,354,421,273,214,437,431,394,237,NA,145,440,263,424,319,274,167,279,192,289,322,351,276,NA,353,415,267,213,436,408,231,NA,141,438,251,412,318,268,155,276,186,283,321,346
Gd14487,Gd14487,282,255,354,421,395,214,438,431,393,237,388,146,439,263,424,319,273,167,261,192,290,322,351,276,NA,353,415,NA,213,436,408,231,386,141,438,251,412,318,268,155,256,186,289,321,346
Gd14866,Gd14866,277,254,354,421,395,214,NA,431,393,238,388,NA,439,263,424,318,274,167,279,192,290,422,351,276,NA,353,415,NA,213,NA,408,237,386,NA,438,251,412,315,268,155,276,186,289,NA,346
Gd14867,Gd14867,282,255,354,421,395,214,436,431,393,238,388,147,439,263,424,318,274,167,280,193,289,420,351,276,NA,353,415,NA,213,431,408,237,386,141,438,251,412,315,268,155,276,192,283,NA,346
Gd14868,Gd14868,287,255,354,422,245,214,437,431,393,NA,388,NA,439,263,424,318,274,167,280,192,289,322,350,282,NA,353,421,NA,213,436,408,NA,386,NA,438,251,412,315,268,155,276,186,283,321,346
Gd14876,Gd14876,282,261,354,421,273,214,436,431,393,238,388,NA,439,263,424,318,274,166,280,193,290,322,351,276,NA,353,415,267,213,431,408,237,386,NA,438,251,412,315,268,155,276,192,289,321,346
Gd14879,Gd14879,282,255,354,421,395,214,437,431,393,237,394,145,439,264,424,318,274,166,279,192,289,322,351,276,NA,353,415,NA,213,436,408,231,392,141,438,263,412,315,268,155,276,186,283,321,346
Gd14880,Gd14880,282,254,354,421,395,214,436,431,393,237,388,147,439,263,NA,318,274,166,280,193,289,322,351,276,NA,353,415,NA,213,431,408,231,386,141,438,251,NA,315,268,155,276,192,283,321,346
Gd14881,Gd14881,282,261,354,421,395,214,437,431,393,238,388,147,439,264,424,318,274,166,280,192,289,322,351,276,NA,353,415,NA,213,436,408,237,386,141,438,263,412,315,268,155,276,186,283,321,346
Gd14882,Gd14882,281,255,354,421,395,214,437,431,394,237,388,NA,439,264,424,318,274,167,280,193,289,322,351,276,NA,353,415,NA,213,436,408,231,386,NA,438,263,412,315,268,155,276,192,283,321,346
Gd14883,Gd14883,282,255,355,421,395,214,437,431,393,238,388,147,439,264,424,318,274,166,280,193,289,322,351,276,NA,353,415,NA,213,436,408,237,386,141,438,263,412,315,268,155,276,192,283,321,346
Gd14884,Gd14884,282,255,354,421,395,214,437,431,393,237,394,NA,439,263,424,NA,274,167,279,193,289,322,351,276,NA,353,415,NA,213,436,408,231,392,NA,438,251,412,NA,268,155,276,192,283,321,346
