GC,title,url,lat,lon,country,province.state,county,numfinds,numpage
GC29P43,"Batman'sCaveSeries""ToTheBatcave""",NA,33.8499333333333,-84.2103333333333,UnitedStates,Alabama,CalhounCounty,55,NA
GC29P4K,"Batman'sCaveSeries""KissFromaRoseonTheGrave",NA,33.8406166666667,-84.2291166666667,UnitedStates,Alabama,CalhounCounty,107,NA
GC29T1N,Cave!,NA,34.9064166666667,-98.6932833333333,UnitedStates,Oklahoma,GreerCounty,119,NA
GC29WAF,MonarchCave,NA,37.652,-97.7957,UnitedStates,Kansas,KingmanCounty,0,NA
GC2A3WZ,MineShaft,NA,38.7811166666667,-121.181266666667,UnitedStates,California,SonomaCounty,16,NA
GC2A7,MudCaveCookieTin,NA,32.9305,-115.804066666667,UnitedStates,California,SanDiegoCounty,97,NA
GC2A7E,CalciteCave,NA,33.29915,-115.896766666667,UnitedStates,California,SanDiegoCounty,14,NA
GC2A99,Hermit'sCave(CGCache#1),NA,38.66255,-95.5058333333333,UnitedStates,Kansas,MorrisCounty,392,NA
GC2APRE,NOTMINE,NA,34.1328666666667,-116.235116666667,UnitedStates,California,LosAngelesCounty,0,NA
GC2ATDC,Mic'sMineCache,NA,37.1058166666667,-117.7987,UnitedStates,California,InyoCounty,11,NA
GC2AWWY,TopoftheCave,NA,51.1028,-113.789816666667,Canada,Alberta,DivisionNo.6Calgary,195,NA
GC2B2FP,ThisLittleLightofMine,NA,47.8577833333333,-121.83,UnitedStates,Washington,SnohomishCounty,74,NA
GC2B43W,EmptyKohlMine,NA,47.6597166666667,-121.310333333333,UnitedStates,Washington,KitsapCounty,155,NA
GC2B76H,QueenBeeMine,NA,44.02185,-102.386433333333,UnitedStates,SouthDakota,PenningtonCounty,20,NA
GC2B9D,That'sMine,NA,38.606,-119.3876,UnitedStates,California,ElDoradoCounty,6,NA
GC2B9E,That'sMine2,NA,38.6059333333333,-119.38765,UnitedStates,California,ElDoradoCounty,6,NA
GC2BC63,WoodenCave,NA,32.5526166666667,-83.1826833333333,UnitedStates,Georgia,MuscogeeCounty,26,NA
GC2BK9F,TheLostCacheBros.Mine,NA,50.8973333333333,-113.21165,Canada,Alberta,DivisionNo.15Canmore,20,NA
GC2BK9Z,Opa'sCave,NA,34.0015166666667,-116.994016666667,UnitedStates,California,RiversideCounty,3,NA
GC2BKJQ,SOUTHTEXASMINE?,NA,28.75235,-97.6490833333333,UnitedStates,Texas,AtascosaCounty,64,NA
GC2BM58,King'sCoveBearCave,NA,48.5578166666667,-52.6548333333333,Canada,NewfoundlandandLabrador,DivisionNo.1AvalonPeninsula-St.John's,7,NA
GC2BM58,King'sCoveBearCave,NA,48.5578166666667,-52.6548333333333,Canada,NewfoundlandandLabrador,DivisionNo.1AvalonPeninsula-St.John's,7,NA
GC2BQFR,OldStoneBridgeCave,NA,42.8362833333333,-92.3964166666667,UnitedStates,Iowa,WrightCounty,36,NA
GC2BRKK,CaveClimbofDoom!,NA,NA,NA,NA,NA,NA,NA,NA
GC2BXB1,MexicanMinetrail,NA,37.3828666666667,-117.8195,UnitedStates,California,InyoCounty,121,NA
GC2BYKH,NearBri13'scave,NA,40.67925,-88.3362666666667,UnitedStates,Illinois,PeoriaCounty,13,NA
GC2C0B9,Bartlett'sCave,NA,NA,NA,NA,NA,NA,NA,NA
GC2C1WB,CaveintheRocks,NA,38.669,-120.9007,UnitedStates,California,SacramentoCounty,78,NA
GC2C28,Hawk'sCave,NA,37.5433333333333,-87.0166833333333,UnitedStates,Illinois,JohnsonCounty,35,NA
GC2C6Z0,ThisLittleLightofMineProbablyNotGonnaShine,NA,33.4981833333333,-81.9188333333333,UnitedStates,Georgia,RichmondCounty,73,NA
GC2C79Y,stumpedatNiagracave,NA,43.5141833333333,-91.9465,UnitedStates,Minnesota,FillmoreCounty,8,NA
GC2C84,PennyMine,NA,32.9718333333333,-115.351916666667,UnitedStates,California,SanDiegoCounty,31,NA
GC2C8HN,WaterfallCave,NA,37.29005,-121.833,UnitedStates,California,SanMateoCounty,6,NA
GC2CE7V,CaveMountaim,NA,48.5294666666667,-118.39315,UnitedStates,Washington,OkanoganCounty,8,NA
GC2CKZN,GoldCreekCave/Mine,NA,48.2004,-119.818483333333,UnitedStates,Washington,OkanoganCounty,6,NA
GC2CKZN,GoldCreekCave/Mine,NA,48.2004,-119.818483333333,UnitedStates,Washington,OkanoganCounty,6,NA
GC2CRAQ,rg045-KentuckyDerbyMine,NA,41.28715,-105.82065,UnitedStates,Wyoming,AlbanyCounty,19,NA
GC2CRBT,BigBearPAINTEDAmmoCanSeries#3:BearCave,NA,NA,NA,NA,NA,NA,NA,NA
GC2CWEY,HomestakeMine-OpenCut,NA,44.3522166666667,-102.236316666667,UnitedStates,SouthDakota,LawrenceCounty,495,NA
GC2CWK1,CaveMan,NA,44.3612666666667,-102.468033333333,UnitedStates,SouthDakota,MeadeCounty,148,NA
GC2CY5P,TheCaveofRoseValleyFalls,NA,34.5274,-118.819166666667,UnitedStates,California,VenturaCounty,36,NA
GC2D59,Phantom'sCave,NA,32.1504666666667,-114.19945,Mexico,BajaCalifornia,NA,1,NA
GC2D7NA,SQUIRRELCAVE,NA,36.3178333333333,-94.36935,UnitedStates,Oklahoma,RogersCounty,131,NA
GC2D9MW,MercoalMine#846,NA,53.1649666666667,-116.9072,Canada,Alberta,DivisionNo.14Hinton,38,NA
GC2D9QB,CacheCave,NA,NA,NA,NA,NA,NA,NA,NA
GC2DA8,Caleb'sCave,NA,34.7369166666667,-85.4482833333333,UnitedStates,Alabama,MadisonCounty,43,NA
GC2DH8W,LimeMine,NA,37.95005,-120.011983333333,UnitedStates,California,ContraCostaCounty,80,NA
GC2DHEV,InTheBatCave,NA,34.3208833333333,-115.092883333333,UnitedStates,California,SanBernardinoCounty,26,NA
GC2DPVK,Highway11Cave&Borehole*Archived8-9-15*,NA,35.0836166666667,-81.54045,UnitedStates,SouthCarolina,GreenvilleCounty,157,NA
GC2DQMB,"BecauseyourmineIwalktheline;",NA,47.612,-58.7945833333333,Canada,NewfoundlandandLabrador,DivisionNo.1AvalonPeninsula-St.John's,122,NA
GC2E3YW,CougerCave,NA,35.6673166666667,-96.6441166666667,UnitedStates,Oklahoma,OklahomaCounty,49,NA
GC2E5FA,ILoveChicago!-Hubbard'sCave,NA,41.88915,-86.3514833333333,UnitedStates,Illinois,CookCounty,116,NA
