county,WNS_MAP_YR,WNS_STATUS
Bell-Kentucky,2013-14,Absent
Bell-Kentucky,2014-15,Absent
Bell-Kentucky,2015-16,Absent
Bell-Kentucky,2016-17,Absent
Bell-Kentucky,2017-18,Absent
Bell-Kentucky,2018-19,Absent
Bennington-Vermont,2006-07,Absent
Bennington-Vermont,2008-09,Absent
Bennington-Vermont,2009-10,Absent
Bennington-Vermont,2010-11,Absent
Bennington-Vermont,2011-12,Absent
Bennington-Vermont,2012-13,Absent
Bennington-Vermont,2013-14,Absent
Bennington-Vermont,2014-15,Absent
Bennington-Vermont,2015-16,Absent
Bennington-Vermont,2016-17,Absent
Bennington-Vermont,2017-18,Absent
Bennington-Vermont,2018-19,Absent
Benton-Arkansas,2006-07,Absent
Benton-Arkansas,2007-08,Absent
Benton-Arkansas,2008-09,Absent
Benton-Arkansas,2009-10,Absent
Benton-Arkansas,2010-11,Absent
Benton-Arkansas,2011-12,Absent
Benton-Arkansas,2012-13,Absent
Benton-Arkansas,2013-14,Absent
Benton-Arkansas,2014-15,Absent
Benton-Arkansas,2016-17,Absent
Benton-Arkansas,2017-18,Absent
Benton-Arkansas,2018-19,Absent
Berkshire-Massachusetts,2006-07,Absent
Berkshire-Massachusetts,2008-09,Absent
Berkshire-Massachusetts,2009-10,Absent
Berkshire-Massachusetts,2010-11,Absent
Berkshire-Massachusetts,2011-12,Absent
Berkshire-Massachusetts,2012-13,Absent
Berkshire-Massachusetts,2013-14,Absent
Berkshire-Massachusetts,2014-15,Absent
Berkshire-Massachusetts,2015-16,Absent
Berkshire-Massachusetts,2016-17,Absent
Berkshire-Massachusetts,2017-18,Absent
Berkshire-Massachusetts,2018-19,Absent
Bexar-Texas,2006-07,Absent
Bexar-Texas,2007-08,Absent
Bexar-Texas,2008-09,Absent
Bexar-Texas,2009-10,Absent
Bexar-Texas,2010-11,Absent
Bexar-Texas,2011-12,Absent
Bexar-Texas,2012-13,Absent
Bexar-Texas,2013-14,Absent
Bexar-Texas,2014-15,Absent
Bexar-Texas,2015-16,Absent
Bexar-Texas,2016-17,Absent
Bexar-Texas,2017-18,Absent
Bibb-Alabama,2006-07,Absent
Bibb-Alabama,2007-08,Absent
Bibb-Alabama,2008-09,Absent
Bibb-Alabama,2009-10,Absent
Bibb-Alabama,2010-11,Absent
Bibb-Alabama,2011-12,Absent
Bibb-Alabama,2012-13,Absent
Bibb-Alabama,2013-14,Absent
Bibb-Alabama,2014-15,Absent
Bibb-Alabama,2015-16,Absent
Bibb-Alabama,2017-18,Absent
Bibb-Alabama,2018-19,Absent
Blair-Pennsylvania,2006-07,Absent
Blair-Pennsylvania,2007-08,Absent
Blair-Pennsylvania,2008-09,Absent
Blair-Pennsylvania,2010-11,Absent
Blair-Pennsylvania,2011-12,Absent
Blair-Pennsylvania,2012-13,Absent
Blair-Pennsylvania,2013-14,Absent
Blair-Pennsylvania,2014-15,Absent
Blair-Pennsylvania,2015-16,Absent
