GC,title,nospace,url,lat,lon,country,province/state,county,numfinds
GC1FZG5,Hole in One,hole-in-one,https://www.geocaching.com/geocache/GC1FZG5_hole-in-one,N 48° 57.568,W 054° 38.274,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,16
GC1GG1K,"""Batter Out""",batter-out,https://www.geocaching.com/geocache/GC1GG1K_batter-out,N 53° 18.210,W 060° 25.271,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,56
GC1GK35,safe landing,safe-landing,https://www.geocaching.com/geocache/GC1GK35_safe-landing,N 48° 56.090,W 057° 54.500,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,111
GC1GQZE,St. John's Harbour,st-johns-harbour,https://www.geocaching.com/geocache/GC1GQZE_st-johns-harbour,N 47° 34.180,W 052° 40.944,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,752
GC1GV6N,"Mug Up, Big Kettle, Small Fire",mug-up-big-kettle-small-fire,https://www.geocaching.com/geocache/GC1GV6N_mug-up-big-kettle-small-fire,N 52° 57.659,W 066° 56.960,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,62
GC1GVJY,North Head,north-head,https://www.geocaching.com/geocache/GC1GVJY_north-head,N 47° 34.052,W 052° 40.657,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,472
GC1H1JZ,Slightly Off Track (AKA. Bonnie's Birthday Cache),slightly-off-track-aka-bonnies-birthday-cache,https://www.geocaching.com/geocache/GC1H1JZ_slightly-off-track-aka-bonnies-birthday-cache,N 47° 31.391,W 052° 56.220,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,86
GC1H8FG,ROCKY HR. INFO CACHE,rocky-hr-info-cache,https://www.geocaching.com/geocache/GC1H8FG_rocky-hr-info-cache,N 49° 35.430,W 057° 54.591,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,104
GC1H9KZ,Piglets Oh No Not Another Evergreen Tree,piglets-oh-no-not-another-evergreen-tree,https://www.geocaching.com/geocache/GC1H9KZ_piglets-oh-no-not-another-evergreen-tree,N 47° 35.177,W 052° 43.441,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,307
GC1HATW,Cantwell's Gardens,cantwells-gardens,https://www.geocaching.com/geocache/GC1HATW_cantwells-gardens,N 47° 31.383,W 052° 38.183,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,190
GC1HK1G,"Shine ""O"" Cache",shine-o-cache,https://www.geocaching.com/geocache/GC1HK1G_shine-o-cache,N 48° 41.416,W 053° 46.632,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,60
GC1HYAP,"""Hotel Notel""",hotel-notel,https://www.geocaching.com/geocache/GC1HYAP_hotel-notel,N 53° 17.967,W 060° 24.671,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,94
GC1K7D6,Magic Baking Powder Bridge,magic-baking-powder-bridge,https://www.geocaching.com/geocache/GC1K7D6_magic-baking-powder-bridge,N 48° 56.714,W 057° 56.437,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,226
GC1KA9B,Cemetery Nano 1,cemetery-nano-1,https://www.geocaching.com/geocache/GC1KA9B_cemetery-nano-1,N 47° 34.492,W 052° 41.955,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,298
GC1QHM4,Auf Wiedersehen,auf-wiedersehen,https://www.geocaching.com/geocache/GC1QHM4_auf-wiedersehen,N 47° 29.285,W 053° 01.516,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,77
GC1QJJ7,Kinder Cache,kinder-cache,https://www.geocaching.com/geocache/GC1QJJ7_kinder-cache,N 47° 31.019,W 052° 56.585,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,279
GC1QTFP,"Twin ""A"" Cache",twin-a-cache,https://www.geocaching.com/geocache/GC1QTFP_twin-a-cache,N 47° 31.939,W 052° 54.951,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,61
GC1R52T,Emma Hennessy Cache,emma-hennessy-cache,https://www.geocaching.com/geocache/GC1R52T_emma-hennessy-cache,N 47° 29.103,W 053° 00.790,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,55
GC1R9RZ,Kelligrews Soiree (A.K.A. The Music Cache),kelligrews-soiree-aka-the-music-cache,https://www.geocaching.com/geocache/GC1R9RZ_kelligrews-soiree-aka-the-music-cache,N 47° 29.469,W 053° 01.712,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,43
GC1RJHN,Grindstone Cache,grindstone-cache,https://www.geocaching.com/geocache/GC1RJHN_grindstone-cache,N 49° 17.653,W 057° 31.940,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,149
GC1RMTK,Keep Your Knees UP!,keep-your-knees-up,https://www.geocaching.com/geocache/GC1RMTK_keep-your-knees-up,N 53° 18.245,W 060° 25.673,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,55
