GC,title,lower,nospace,url,lat,lon,numfind,numpage
GCNR6Y,New Beautiful Smith Falls,new beautiful smith falls,new-beautiful-smith-falls,https://www.geocaching.com/geocache/GCNR6Y_new-beautiful-smith-falls,N 45° 36.775,W 065° 47.344,57,3
GCNXJ0,"In memory of ""CASPER""","in memory of ""casper""",in-memory-of-casper,https://www.geocaching.com/geocache/GCNXJ0_in-memory-of-casper,N 45° 57.284,W 066° 40.556,463,19
GCNZV7,The Bend In The River,the bend in the river,the-bend-in-the-river,https://www.geocaching.com/geocache/GCNZV7_the-bend-in-the-river,N 45° 33.304,W 067° 06.326,125,5
GCP5G1,McAdam Tunnel,mcadam tunnel,mcadam-tunnel,https://www.geocaching.com/geocache/GCP5G1_mcadam-tunnel,N 45° 35.739,W 067° 19.522,133,6
GCP88V,Longest converted train bridge in North America,longest converted train bridge in north america,longest-converted-train-bridge-in-north-america,https://www.geocaching.com/geocache/GCP88V_longest-converted-train-bridge-in-north-america,N 45° 57.360,W 066° 38.090,690,28
GCPCJ1,Escuminac Memorial,escuminac memorial,escuminac-memorial,https://www.geocaching.com/geocache/GCPCJ1_escuminac-memorial,N 47° 04.748,W 064° 53.235,139,6
GCPQND,While at Killarney,while at killarney,while-at-killarney,https://www.geocaching.com/geocache/GCPQND_while-at-killarney,N 46° 01.236,W 066° 37.393,183,8
GCQ974,Bluff Hill Tower,bluff hill tower,bluff-hill-tower,https://www.geocaching.com/geocache/GCQ974_bluff-hill-tower,N 46° 00.159,W 066° 41.045,41,2
GCQHZM,Four Falls Earthcache,four falls earthcache,four-falls-earthcache,https://www.geocaching.com/geocache/GCQHZM_four-falls-earthcache,N 46° 49.406,W 067° 44.256,160,7
GCRJDG,1st New Maryland Cubs Cache #1,1st new maryland cubs cache 1,1st-new-maryland-cubs-cache-1,https://www.geocaching.com/geocache/GCRJDG_1st-new-maryland-cubs-cache-1,N 45° 55.035,W 066° 39.870,129,6
GCRV39,A little Park In Rothesay,a little park in rothesay,a-little-park-in-rothesay,https://www.geocaching.com/geocache/GCRV39_a-little-park-in-rothesay,N 45° 22.322,W 066° 00.586,188,8
GCT516,Tower Road,tower road,tower-road,https://www.geocaching.com/geocache/GCT516_tower-road,N 45° 40.372,W 067° 04.744,63,3
GCVXK6,End of a mighty birch,end of a mighty birch,end-of-a-mighty-birch,https://www.geocaching.com/geocache/GCVXK6_end-of-a-mighty-birch,N 45° 56.173,W 066° 40.852,134,6
GCXFRZ,Little Yoho,little yoho,little-yoho,https://www.geocaching.com/geocache/GCXFRZ_little-yoho,N 45° 45.904,W 066° 52.521,36,2
GCXJMY,Git-R-Done,gitrdone,gitrdone,https://www.geocaching.com/geocache/GCXJMY_gitrdone,N 45° 56.234,W 066° 42.008,100,4
GCXM80,Let's Go Tubing!,lets go tubing,lets-go-tubing,https://www.geocaching.com/geocache/GCXM80_lets-go-tubing,N 46° 55.412,W 065° 57.456,18,1
GCY343,Tweety's new home (Sussex),tweetys new home (sussex),tweetys-new-home-sussex,https://www.geocaching.com/geocache/GCY343_tweetys-new-home-sussex,N 45° 43.862,W 065° 32.025,139,6
GCYDRX,Deep in Frog Country,deep in frog country,deep-in-frog-country,https://www.geocaching.com/geocache/GCYDRX_deep-in-frog-country,N 45° 57.091,W 066° 36.521,116,5
GCZ015,Rainy Day Cache,rainy day cache,rainy-day-cache,https://www.geocaching.com/geocache/GCZ015_rainy-day-cache,N 46° 45.353,W 065° 31.291,18,1
GCZ8BY,Welcome to the Rock!,welcome to the rock,welcome-to-the-rock,https://www.geocaching.com/geocache/GCZ8BY_welcome-to-the-rock,N 46° 54.215,W 065° 58.383,36,2
GCZME9,Old Chevy,old chevy,old-chevy,https://www.geocaching.com/geocache/GCZME9_old-chevy,N 45° 56.689,W 066° 40.651,512,21
